Destino	Concepto turístico	Tipo de dato	Periodo	Total
Total	Gasto medio por persona	Valor absoluto	2015	216,29
Total	Gasto medio por persona	Distribución porcentual	2023	""
Total	Gasto medio por persona	Distribución porcentual	2022	""
Total	Gasto medio por persona	Distribución porcentual	2021	""
Total	Gasto medio por persona	Distribución porcentual	2020	""
Total	Gasto medio por persona	Distribución porcentual	2019	""
Total	Gasto medio por persona	Distribución porcentual	2018	""
Total	Gasto medio por persona	Distribución porcentual	2017	""
Total	Gasto medio por persona	Distribución porcentual	2016	""
Total	Gasto medio por persona	Distribución porcentual	2015	""
Total	Gasto medio por persona	Variación anual	2023	7,7
Total	Gasto medio por persona	Variación anual	2022	28,94
Total	Gasto medio por persona	Variación anual	2021	9,32
Total	Gasto medio por persona	Variación anual	2020	-16,03
Total	Gasto medio por persona	Variación anual	2019	3,56
Total	Gasto medio por persona	Variación anual	2018	4,83
Total	Gasto medio por persona	Variación anual	2017	0,4
Total	Gasto medio por persona	Variación anual	2016	5,17
Total	Gasto medio por persona	Variación anual	2015	""
Total	Gasto medio diario por persona	Valor absoluto	2023	73,25
Total	Gasto medio diario por persona	Valor absoluto	2022	67,43
Total	Gasto medio diario por persona	Valor absoluto	2021	51,94
Total	Gasto medio diario por persona	Valor absoluto	2020	42,83
Total	Gasto medio diario por persona	Valor absoluto	2019	60,54
Total	Gasto medio diario por persona	Valor absoluto	2018	58,96
Total	Gasto medio diario por persona	Valor absoluto	2017	55,16
Total	Gasto medio diario por persona	Valor absoluto	2016	53,04
Total	Gasto medio diario por persona	Valor absoluto	2015	50,63
Total	Gasto medio diario por persona	Distribución porcentual	2023	""
Total	Gasto medio diario por persona	Distribución porcentual	2022	""
Total	Gasto medio diario por persona	Distribución porcentual	2021	""
Total	Gasto medio diario por persona	Distribución porcentual	2020	""
Total	Gasto medio diario por persona	Distribución porcentual	2019	""
Total	Gasto medio diario por persona	Distribución porcentual	2018	""
Total	Gasto medio diario por persona	Distribución porcentual	2017	""
Total	Gasto medio diario por persona	Distribución porcentual	2016	""
Total	Gasto medio diario por persona	Distribución porcentual	2015	""
Total	Gasto medio diario por persona	Variación anual	2023	8,62
Total	Gasto medio diario por persona	Variación anual	2022	29,84
Total	Gasto medio diario por persona	Variación anual	2021	21,25
Total	Gasto medio diario por persona	Variación anual	2020	-29,25
Total	Gasto medio diario por persona	Variación anual	2019	2,68
Total	Gasto medio diario por persona	Variación anual	2018	6,9
Total	Gasto medio diario por persona	Variación anual	2017	3,99
Total	Gasto medio diario por persona	Variación anual	2016	4,77
Total	Gasto medio diario por persona	Variación anual	2015	""
Extranjero	Viajes	Valor absoluto	2023	19.290.525
Extranjero	Viajes	Valor absoluto	2022	16.135.111
Extranjero	Viajes	Valor absoluto	2021	7.205.752
Extranjero	Viajes	Valor absoluto	2020	5.074.468
Extranjero	Viajes	Valor absoluto	2019	20.119.745
Extranjero	Viajes	Valor absoluto	2018	19.307.118
Extranjero	Viajes	Valor absoluto	2017	17.289.487
Extranjero	Viajes	Valor absoluto	2016	15.732.052
Extranjero	Viajes	Valor absoluto	2015	15.139.656
Extranjero	Viajes	Distribución porcentual	2023	10,4
Extranjero	Viajes	Distribución porcentual	2022	9,4
Extranjero	Viajes	Distribución porcentual	2021	5
Extranjero	Viajes	Distribución porcentual	2020	5
Extranjero	Viajes	Distribución porcentual	2019	10,4
Extranjero	Viajes	Distribución porcentual	2018	9,8
Extranjero	Viajes	Distribución porcentual	2017	8,9
Extranjero	Viajes	Distribución porcentual	2016	8,6
Extranjero	Viajes	Distribución porcentual	2015	8,6
Extranjero	Viajes	Variación anual	2023	19,56
Extranjero	Viajes	Variación anual	2022	123,92
Extranjero	Viajes	Variación anual	2021	42
Extranjero	Viajes	Variación anual	2020	-74,78
Extranjero	Viajes	Variación anual	2019	4,21
Extranjero	Viajes	Variación anual	2018	11,67
Extranjero	Viajes	Variación anual	2017	9,9
Extranjero	Viajes	Variación anual	2016	3,91
Extranjero	Viajes	Variación anual	2015	""
Extranjero	Duración media de los viajes	Valor absoluto	2023	8,21
Extranjero	Duración media de los viajes	Valor absoluto	2022	8,53
Extranjero	Duración media de los viajes	Valor absoluto	2021	9,56
Extranjero	Duración media de los viajes	Valor absoluto	2020	8,42
Extranjero	Duración media de los viajes	Valor absoluto	2019	7,18
Extranjero	Duración media de los viajes	Valor absoluto	2018	7,86
Extranjero	Duración media de los viajes	Valor absoluto	2017	8,16
Extranjero	Duración media de los viajes	Valor absoluto	2016	8,73
Extranjero	Duración media de los viajes	Valor absoluto	2015	8,8
Extranjero	Duración media de los viajes	Distribución porcentual	2023	""
Extranjero	Duración media de los viajes	Distribución porcentual	2022	""
Extranjero	Duración media de los viajes	Distribución porcentual	2021	""
Extranjero	Duración media de los viajes	Distribución porcentual	2020	""
Extranjero	Duración media de los viajes	Distribución porcentual	2019	""
Extranjero	Duración media de los viajes	Distribución porcentual	2018	""
Extranjero	Duración media de los viajes	Distribución porcentual	2017	""
Extranjero	Duración media de los viajes	Distribución porcentual	2016	""
Extranjero	Duración media de los viajes	Distribución porcentual	2015	""
Extranjero	Duración media de los viajes	Variación anual	2023	-3,67
Extranjero	Duración media de los viajes	Variación anual	2022	-10,81
Extranjero	Duración media de los viajes	Variación anual	2021	13,57
Extranjero	Duración media de los viajes	Variación anual	2020	17,31
Extranjero	Duración media de los viajes	Variación anual	2019	-8,71
Extranjero	Duración media de los viajes	Variación anual	2018	-3,71
Extranjero	Duración media de los viajes	Variación anual	2017	-6,44
Extranjero	Duración media de los viajes	Variación anual	2016	-0,79
Extranjero	Duración media de los viajes	Variación anual	2015	""
Extranjero	Pernoctaciones	Valor absoluto	2023	158.454.126
Extranjero	Pernoctaciones	Valor absoluto	2022	137.586.355
Extranjero	Pernoctaciones	Valor absoluto	2021	68.893.926
Extranjero	Pernoctaciones	Valor absoluto	2020	42.719.916
Extranjero	Pernoctaciones	Valor absoluto	2019	144.391.738
Extranjero	Pernoctaciones	Valor absoluto	2018	151.773.267
Extranjero	Pernoctaciones	Valor absoluto	2017	141.154.479
Extranjero	Pernoctaciones	Valor absoluto	2016	137.274.029
Extranjero	Pernoctaciones	Valor absoluto	2015	133.154.880
Extranjero	Pernoctaciones	Distribución porcentual	2023	19,8
Extranjero	Pernoctaciones	Distribución porcentual	2022	18,4
Extranjero	Pernoctaciones	Distribución porcentual	2021	11
Extranjero	Pernoctaciones	Distribución porcentual	2020	8,7
Extranjero	Pernoctaciones	Distribución porcentual	2019	18,2
Extranjero	Pernoctaciones	Distribución porcentual	2018	19,1
Extranjero	Pernoctaciones	Distribución porcentual	2017	17,6
Extranjero	Pernoctaciones	Distribución porcentual	2016	17,6
Extranjero	Pernoctaciones	Distribución porcentual	2015	17,8
Extranjero	Pernoctaciones	Variación anual	2023	15,17
Extranjero	Pernoctaciones	Variación anual	2022	99,71
Extranjero	Pernoctaciones	Variación anual	2021	61,27
Extranjero	Pernoctaciones	Variación anual	2020	-70,41
Extranjero	Pernoctaciones	Variación anual	2019	-4,86
Extranjero	Pernoctaciones	Variación anual	2018	7,52
Extranjero	Pernoctaciones	Variación anual	2017	2,83
Extranjero	Pernoctaciones	Variación anual	2016	3,09
Extranjero	Pernoctaciones	Variación anual	2015	""
Extranjero	Gasto total	Valor absoluto	2023	19.051.663,09
Extranjero	Gasto total	Valor absoluto	2022	14.860.148,62
Extranjero	Gasto total	Valor absoluto	2021	5.411.731,29
Extranjero	Gasto total	Valor absoluto	2020	3.576.611,44
Extranjero	Gasto total	Valor absoluto	2019	16.051.837,51
Extranjero	Gasto total	Valor absoluto	2018	16.081.752,6
Extranjero	Gasto total	Valor absoluto	2017	14.275.284,89
Extranjero	Gasto total	Valor absoluto	2016	13.233.735,91
Extranjero	Gasto total	Valor absoluto	2015	11.931.422,85
Extranjero	Gasto total	Distribución porcentual	2023	32,4
Extranjero	Gasto total	Distribución porcentual	2022	29,5
Extranjero	Gasto total	Distribución porcentual	2021	16,6
Extranjero	Gasto total	Distribución porcentual	2020	16,9
Extranjero	Gasto total	Distribución porcentual	2019	33,4
Extranjero	Gasto total	Distribución porcentual	2018	34,3
Extranjero	Gasto total	Distribución porcentual	2017	32,3
Extranjero	Gasto total	Distribución porcentual	2016	32
Extranjero	Gasto total	Distribución porcentual	2015	31,4
Extranjero	Gasto total	Variación anual	2023	28,21
Extranjero	Gasto total	Variación anual	2022	174,59
Extranjero	Gasto total	Variación anual	2021	51,31
Extranjero	Gasto total	Variación anual	2020	-77,72
Extranjero	Gasto total	Variación anual	2019	-0,19
Extranjero	Gasto total	Variación anual	2018	12,65
Extranjero	Gasto total	Variación anual	2017	7,87
Extranjero	Gasto total	Variación anual	2016	10,91
Extranjero	Gasto total	Variación anual	2015	""
Extranjero	Gasto medio por persona	Valor absoluto	2023	987,62
Extranjero	Gasto medio por persona	Valor absoluto	2022	920,98
Extranjero	Gasto medio por persona	Valor absoluto	2021	751,03
Extranjero	Gasto medio por persona	Valor absoluto	2020	704,82
Extranjero	Gasto medio por persona	Valor absoluto	2019	797,82
Extranjero	Gasto medio por persona	Valor absoluto	2018	832,94
Extranjero	Gasto medio por persona	Valor absoluto	2017	825,66
Extranjero	Gasto medio por persona	Valor absoluto	2016	841,2
Extranjero	Gasto medio por persona	Valor absoluto	2015	788,09
Extranjero	Gasto medio por persona	Distribución porcentual	2023	""
Extranjero	Gasto medio por persona	Distribución porcentual	2022	""
Extranjero	Gasto medio por persona	Distribución porcentual	2021	""
Extranjero	Gasto medio por persona	Distribución porcentual	2020	""
Extranjero	Gasto medio por persona	Distribución porcentual	2019	""
Extranjero	Gasto medio por persona	Distribución porcentual	2018	""
Extranjero	Gasto medio por persona	Distribución porcentual	2017	""
Extranjero	Gasto medio por persona	Distribución porcentual	2016	""
Extranjero	Gasto medio por persona	Distribución porcentual	2015	""
Extranjero	Gasto medio por persona	Variación anual	2023	7,24
Extranjero	Gasto medio por persona	Variación anual	2022	22,63
Extranjero	Gasto medio por persona	Variación anual	2021	6,56
Extranjero	Gasto medio por persona	Variación anual	2020	-11,66
Extranjero	Gasto medio por persona	Variación anual	2019	-4,22
Extranjero	Gasto medio por persona	Variación anual	2018	0,88
Extranjero	Gasto medio por persona	Variación anual	2017	-1,85
Extranjero	Gasto medio por persona	Variación anual	2016	6,74
Extranjero	Gasto medio por persona	Variación anual	2015	""
Extranjero	Gasto medio diario por persona	Valor absoluto	2023	120,23
Extranjero	Gasto medio diario por persona	Valor absoluto	2022	108,01
Extranjero	Gasto medio diario por persona	Valor absoluto	2021	78,55
Extranjero	Gasto medio diario por persona	Valor absoluto	2020	83,72
Extranjero	Gasto medio diario por persona	Valor absoluto	2019	111,17
Extranjero	Gasto medio diario por persona	Valor absoluto	2018	105,96
Extranjero	Gasto medio diario por persona	Valor absoluto	2017	101,13
Extranjero	Gasto medio diario por persona	Valor absoluto	2016	96,4
Extranjero	Gasto medio diario por persona	Valor absoluto	2015	89,61
Extranjero	Gasto medio diario por persona	Distribución porcentual	2023	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2022	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2021	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2020	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2019	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2018	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2017	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2016	""
Extranjero	Gasto medio diario por persona	Distribución porcentual	2015	""
Extranjero	Gasto medio diario por persona	Variación anual	2023	11,32
Extranjero	Gasto medio diario por persona	Variación anual	2022	37,5
Extranjero	Gasto medio diario por persona	Variación anual	2021	-6,18
Extranjero	Gasto medio diario por persona	Variación anual	2020	-24,69
Extranjero	Gasto medio diario por persona	Variación anual	2019	4,92
Extranjero	Gasto medio diario por persona	Variación anual	2018	4,77
Extranjero	Gasto medio diario por persona	Variación anual	2017	4,9
Extranjero	Gasto medio diario por persona	Variación anual	2016	7,59
Extranjero	Gasto medio diario por persona	Variación anual	2015	""
01 Andalucía	Viajes	Valor absoluto	2023	31.796.819
01 Andalucía	Viajes	Valor absoluto	2022	28.120.282
01 Andalucía	Viajes	Valor absoluto	2021	25.978.674
01 Andalucía	Viajes	Valor absoluto	2020	18.889.241
01 Andalucía	Viajes	Valor absoluto	2019	32.717.537
01 Andalucía	Viajes	Valor absoluto	2018	32.647.910
01 Andalucía	Viajes	Valor absoluto	2017	32.589.227
01 Andalucía	Viajes	Valor absoluto	2016	31.761.512
01 Andalucía	Viajes	Valor absoluto	2015	30.398.144
01 Andalucía	Viajes	Distribución porcentual	2023	17,1
01 Andalucía	Viajes	Distribución porcentual	2022	16,4
01 Andalucía	Viajes	Distribución porcentual	2021	18,2
01 Andalucía	Viajes	Distribución porcentual	2020	18,6
01 Andalucía	Viajes	Distribución porcentual	2019	16,9
01 Andalucía	Viajes	Distribución porcentual	2018	16,7
01 Andalucía	Viajes	Distribución porcentual	2017	16,8
01 Andalucía	Viajes	Distribución porcentual	2016	17,5
01 Andalucía	Viajes	Distribución porcentual	2015	17,3
01 Andalucía	Viajes	Variación anual	2023	13,07
01 Andalucía	Viajes	Variación anual	2022	8,24
01 Andalucía	Viajes	Variación anual	2021	37,53
01 Andalucía	Viajes	Variación anual	2020	-42,27
01 Andalucía	Viajes	Variación anual	2019	0,21
01 Andalucía	Viajes	Variación anual	2018	0,18
01 Andalucía	Viajes	Variación anual	2017	2,61
01 Andalucía	Viajes	Variación anual	2016	4,49
01 Andalucía	Viajes	Variación anual	2015	""
01 Andalucía	Duración media de los viajes	Valor absoluto	2023	4,13
01 Andalucía	Duración media de los viajes	Valor absoluto	2022	4,19
01 Andalucía	Duración media de los viajes	Valor absoluto	2021	4,37
01 Andalucía	Duración media de los viajes	Valor absoluto	2020	4,7
01 Andalucía	Duración media de los viajes	Valor absoluto	2019	4,13
01 Andalucía	Duración media de los viajes	Valor absoluto	2018	3,92
01 Andalucía	Duración media de los viajes	Valor absoluto	2017	4,03
01 Andalucía	Duración media de los viajes	Valor absoluto	2016	4,2
01 Andalucía	Duración media de los viajes	Valor absoluto	2015	4,13
01 Andalucía	Duración media de los viajes	Distribución porcentual	2023	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2022	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2021	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2020	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2019	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2018	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2017	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2016	""
01 Andalucía	Duración media de los viajes	Distribución porcentual	2015	""
01 Andalucía	Duración media de los viajes	Variación anual	2023	-1,35
01 Andalucía	Duración media de los viajes	Variación anual	2022	-4,04
01 Andalucía	Duración media de los viajes	Variación anual	2021	-7,14
01 Andalucía	Duración media de los viajes	Variación anual	2020	13,96
01 Andalucía	Duración media de los viajes	Variación anual	2019	5,29
01 Andalucía	Duración media de los viajes	Variación anual	2018	-2,63
01 Andalucía	Duración media de los viajes	Variación anual	2017	-4,06
01 Andalucía	Duración media de los viajes	Variación anual	2016	1,72
01 Andalucía	Duración media de los viajes	Variación anual	2015	""
01 Andalucía	Pernoctaciones	Valor absoluto	2023	131.476.958
01 Andalucía	Pernoctaciones	Valor absoluto	2022	117.867.540
01 Andalucía	Pernoctaciones	Valor absoluto	2021	113.480.047
01 Andalucía	Pernoctaciones	Valor absoluto	2020	88.859.044
01 Andalucía	Pernoctaciones	Valor absoluto	2019	135.058.359
01 Andalucía	Pernoctaciones	Valor absoluto	2018	127.999.862
01 Andalucía	Pernoctaciones	Valor absoluto	2017	131.226.796
01 Andalucía	Pernoctaciones	Valor absoluto	2016	133.301.145
01 Andalucía	Pernoctaciones	Valor absoluto	2015	125.427.001
01 Andalucía	Pernoctaciones	Distribución porcentual	2023	16,4
01 Andalucía	Pernoctaciones	Distribución porcentual	2022	15,8
01 Andalucía	Pernoctaciones	Distribución porcentual	2021	18,1
01 Andalucía	Pernoctaciones	Distribución porcentual	2020	18
01 Andalucía	Pernoctaciones	Distribución porcentual	2019	17
01 Andalucía	Pernoctaciones	Distribución porcentual	2018	16,1
01 Andalucía	Pernoctaciones	Distribución porcentual	2017	16,4
01 Andalucía	Pernoctaciones	Distribución porcentual	2016	17,1
01 Andalucía	Pernoctaciones	Distribución porcentual	2015	16,7
01 Andalucía	Pernoctaciones	Variación anual	2023	11,55
01 Andalucía	Pernoctaciones	Variación anual	2022	3,87
01 Andalucía	Pernoctaciones	Variación anual	2021	27,71
01 Andalucía	Pernoctaciones	Variación anual	2020	-34,21
01 Andalucía	Pernoctaciones	Variación anual	2019	5,51
01 Andalucía	Pernoctaciones	Variación anual	2018	-2,46
01 Andalucía	Pernoctaciones	Variación anual	2017	-1,56
01 Andalucía	Pernoctaciones	Variación anual	2016	6,28
01 Andalucía	Pernoctaciones	Variación anual	2015	""
01 Andalucía	Gasto total	Valor absoluto	2023	8.168.803,26
01 Andalucía	Gasto total	Valor absoluto	2022	6.963.409,04
01 Andalucía	Gasto total	Valor absoluto	2021	5.623.362,82
01 Andalucía	Gasto total	Valor absoluto	2020	3.717.146,38
01 Andalucía	Gasto total	Valor absoluto	2019	6.524.677,1
01 Andalucía	Gasto total	Valor absoluto	2018	6.065.520,28
01 Andalucía	Gasto total	Valor absoluto	2017	5.887.753,47
01 Andalucía	Gasto total	Valor absoluto	2016	5.626.533,48
01 Andalucía	Gasto total	Valor absoluto	2015	5.375.133,99
01 Andalucía	Gasto total	Distribución porcentual	2023	13,9
01 Andalucía	Gasto total	Distribución porcentual	2022	13,8
01 Andalucía	Gasto total	Distribución porcentual	2021	17,3
01 Andalucía	Gasto total	Distribución porcentual	2020	17,6
01 Andalucía	Gasto total	Distribución porcentual	2019	13,6
01 Andalucía	Gasto total	Distribución porcentual	2018	12,9
01 Andalucía	Gasto total	Distribución porcentual	2017	13,3
01 Andalucía	Gasto total	Distribución porcentual	2016	13,6
01 Andalucía	Gasto total	Distribución porcentual	2015	14,2
01 Andalucía	Gasto total	Variación anual	2023	17,31
01 Andalucía	Gasto total	Variación anual	2022	23,83
01 Andalucía	Gasto total	Variación anual	2021	51,28
01 Andalucía	Gasto total	Variación anual	2020	-43,03
01 Andalucía	Gasto total	Variación anual	2019	7,57
01 Andalucía	Gasto total	Variación anual	2018	3,02
01 Andalucía	Gasto total	Variación anual	2017	4,64
01 Andalucía	Gasto total	Variación anual	2016	4,68
01 Andalucía	Gasto total	Variación anual	2015	""
01 Andalucía	Gasto medio por persona	Valor absoluto	2023	256,91
01 Andalucía	Gasto medio por persona	Valor absoluto	2022	247,63
01 Andalucía	Gasto medio por persona	Valor absoluto	2021	216,46
01 Andalucía	Gasto medio por persona	Valor absoluto	2020	196,79
01 Andalucía	Gasto medio por persona	Valor absoluto	2019	199,42
01 Andalucía	Gasto medio por persona	Valor absoluto	2018	185,79
01 Andalucía	Gasto medio por persona	Valor absoluto	2017	180,67
01 Andalucía	Gasto medio por persona	Valor absoluto	2016	177,15
01 Andalucía	Gasto medio por persona	Valor absoluto	2015	176,82
01 Andalucía	Gasto medio por persona	Distribución porcentual	2023	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2022	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2021	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2020	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2019	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2018	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2017	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2016	""
01 Andalucía	Gasto medio por persona	Distribución porcentual	2015	""
01 Andalucía	Gasto medio por persona	Variación anual	2023	3,75
01 Andalucía	Gasto medio por persona	Variación anual	2022	14,4
01 Andalucía	Gasto medio por persona	Variación anual	2021	10
01 Andalucía	Gasto medio por persona	Variación anual	2020	-1,32
01 Andalucía	Gasto medio por persona	Variación anual	2019	7,34
01 Andalucía	Gasto medio por persona	Variación anual	2018	2,83
01 Andalucía	Gasto medio por persona	Variación anual	2017	1,98
01 Andalucía	Gasto medio por persona	Variación anual	2016	0,18
01 Andalucía	Gasto medio por persona	Variación anual	2015	""
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2023	62,13
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2022	59,08
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2021	49,55
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2020	41,83
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2019	48,31
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2018	47,39
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2017	44,87
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2016	42,21
01 Andalucía	Gasto medio diario por persona	Valor absoluto	2015	42,85
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2023	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2022	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2021	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2020	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2019	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2018	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2017	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2016	""
01 Andalucía	Gasto medio diario por persona	Distribución porcentual	2015	""
01 Andalucía	Gasto medio diario por persona	Variación anual	2023	5,17
01 Andalucía	Gasto medio diario por persona	Variación anual	2022	19,22
01 Andalucía	Gasto medio diario por persona	Variación anual	2021	18,46
01 Andalucía	Gasto medio diario por persona	Variación anual	2020	-13,41
