Edad	Duración	Destino	Tipo de dato	Periodo	Total
Total	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2015	5,18
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	6,08
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	4,19
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	6,44
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	8,23
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	8,42
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	8,19
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	8,03
Total	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	8,25
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2022	13,81
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2021	5,17
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2020	15,23
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2019	20,32
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2018	18,61
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2017	16,8
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2016	15,32
Total	Total	España y extranjero	Porcentaje sobre personas de la categoría	2015	14,14
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2022	21,12
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2021	9,55
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2020	23,82
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2019	29,17
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2018	27,62
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2017	25,6
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2016	23,3
Total	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2015	22,52
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2023	""
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2022	52,1
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2021	38,62
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2020	48,61
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2019	53,41
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2018	49,42
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2017	51,54
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2016	47,26
Total	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2015	45,98
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2023	""
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2022	79,7
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2021	71,36
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2020	76,01
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2019	76,67
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2018	73,35
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2017	78,51
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2016	71,9
Total	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2015	73,22
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2022	37,49
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2021	33,16
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2020	33,31
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2019	32,7
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2018	30,9
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2017	34,15
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2016	32,36
Total	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2015	31,82
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2022	57,35
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2021	61,27
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2020	52,09
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2019	46,95
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2018	45,87
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2017	52,02
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2016	49,24
Total	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2015	50,67
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	1,66
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	0,83
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	1,52
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	2,1
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	1,92
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	1,81
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	1,26
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	1,56
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	2,55
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	1,54
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	2,37
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	3,01
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	2,85
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	2,76
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,91
Total	De 1 a 3 noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	2,49
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	12,95
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	4,63
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	13,78
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	18,61
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	16,59
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	15,58
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	13,64
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	12,59
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	19,81
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	8,55
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	21,54
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	26,71
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	24,63
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	23,74
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	20,75
Total	De 1 a 3 noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	20,06
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2023	""
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2022	49,25
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2021	38,97
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2020	48,96
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2019	54,56
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2018	52,72
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2017	49,84
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2016	50,46
Total	De 4 o más noches	Total	Porcentaje sobre personas de la categoría	2015	48
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2023	""
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2022	75,34
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2021	72,01
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2020	76,56
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2019	78,32
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2018	78,25
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2017	75,93
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2016	76,77
Total	De 4 o más noches	Total	Porcentaje sobre el total de viajeros 	2015	76,44
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2022	33,31
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2021	32,45
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2020	31,37
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2019	30,65
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2018	30,44
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2017	29,54
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2016	31,36
Total	De 4 o más noches	Solo España	Porcentaje sobre personas de la categoría	2015	30,15
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2022	50,95
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2021	59,95
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2020	49,05
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2019	44
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2018	45,18
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2017	45
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2016	47,71
Total	De 4 o más noches	Solo España	Porcentaje sobre el total de viajeros 	2015	48,02
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	3,31
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	1,74
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	3,31
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	4,68
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	4,74
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2017	4,62
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2016	4,5
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre personas de la categoría	2015	4,47
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	5,06
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	3,21
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	5,18
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	6,71
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	7,03
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	7,04
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	6,85
Total	De 4 o más noches	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	7,12
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2022	12,63
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2021	4,79
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2020	14,28
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2019	19,23
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2018	17,55
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2017	15,68
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2016	14,6
Total	De 4 o más noches	España y extranjero	Porcentaje sobre personas de la categoría	2015	13,38
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2022	19,32
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2021	8,85
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2020	22,33
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2019	27,61
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2018	26,04
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2017	23,89
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2016	22,21
Total	De 4 o más noches	España y extranjero	Porcentaje sobre el total de viajeros 	2015	21,3
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2021	68,24
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2020	78,58
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2019	83,4
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2018	79,98
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2017	77,95
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2016	77,13
De 15 a 24 años	Total	Total	Porcentaje sobre personas de la categoría	2015	75,45
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2021	16,77
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2020	16,17
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2019	15,51
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2018	15,13
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2017	14,96
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2016	14,75
De 15 a 24 años	Total	Total	Porcentaje sobre el total de viajeros 	2015	15,11
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2021	59,93
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2020	49,29
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2019	48,33
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2018	45,66
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2017	47,81
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2016	47,74
De 15 a 24 años	Total	Solo España	Porcentaje sobre personas de la categoría	2015	48,42
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2021	14,73
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2020	10,14
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2019	8,99
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2018	8,64
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2017	9,18
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2016	9,13
De 15 a 24 años	Total	Solo España	Porcentaje sobre el total de viajeros 	2015	9,69
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2020	4,7
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2019	6,77
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2018	6,78
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2017	6,52
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2016	7,13
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre personas de la categoría	2015	7,35
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2021	..
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2020	0,97
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2019	1,26
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2018	1,28
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2017	1,25
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2016	1,36
De 15 a 24 años	Total	Solo extranjero	Porcentaje sobre el total de viajeros 	2015	1,47
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2021	7,16
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2020	24,6
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2019	28,3
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2018	27,53
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2017	23,62
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2016	22,26
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre personas de la categoría	2015	19,68
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2021	1,76
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2020	5,06
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2019	5,26
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2018	5,21
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2017	4,53
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2016	4,26
De 15 a 24 años	Total	España y extranjero	Porcentaje sobre el total de viajeros 	2015	3,94
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2021	52,29
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2020	63,87
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2019	67,9
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2018	61,66
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2017	64
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2016	57,37
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre personas de la categoría	2015	55,95
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2021	12,85
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2020	13,14
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2019	12,62
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2018	11,67
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2017	12,28
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2016	10,97
De 15 a 24 años	De 1 a 3 noches	Total	Porcentaje sobre el total de viajeros 	2015	11,2
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2021	45,37
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2020	40,02
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2019	38,94
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2018	34,77
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2017	39,88
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2016	35,93
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre personas de la categoría	2015	36,11
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2023	""
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2022	..
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2021	11,15
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2020	8,23
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2019	7,24
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2018	6,58
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2017	7,65
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2016	6,87
De 15 a 24 años	De 1 a 3 noches	Solo España	Porcentaje sobre el total de viajeros 	2015	7,23
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2023	""
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2022	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2021	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2020	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2019	..
De 15 a 24 años	De 1 a 3 noches	Solo extranjero	Porcentaje sobre personas de la categoría	2018	..
