Nivel de formación	Concepto turístico	Tipo de dato	Periodo	Total
Total	Viajes	Acumulado en lo que va de año	2015T2	65.833.580
Total	Viajes	Acumulado en lo que va de año	2015T1	27.590.722
Total	Viajes	Distribución porcentual del acumulado	2023T4	100
Total	Viajes	Distribución porcentual del acumulado	2023T3	100
Total	Viajes	Distribución porcentual del acumulado	2023T2	100
Total	Viajes	Distribución porcentual del acumulado	2023T1	100
Total	Viajes	Distribución porcentual del acumulado	2022T4	100
Total	Viajes	Distribución porcentual del acumulado	2022T3	100
Total	Viajes	Distribución porcentual del acumulado	2022T2	100
Total	Viajes	Distribución porcentual del acumulado	2022T1	100
Total	Viajes	Distribución porcentual del acumulado	2021T4	100
Total	Viajes	Distribución porcentual del acumulado	2021T3	100
Total	Viajes	Distribución porcentual del acumulado	2021T2	100
Total	Viajes	Distribución porcentual del acumulado	2021T1	100
Total	Viajes	Distribución porcentual del acumulado	2020T4	100
Total	Viajes	Distribución porcentual del acumulado	2020T3	100
Total	Viajes	Distribución porcentual del acumulado	2020T2	100
Total	Viajes	Distribución porcentual del acumulado	2020T1	100
Total	Viajes	Distribución porcentual del acumulado	2019T4	100
Total	Viajes	Distribución porcentual del acumulado	2019T3	100
Total	Viajes	Distribución porcentual del acumulado	2019T2	100
Total	Viajes	Distribución porcentual del acumulado	2019T1	100
Total	Viajes	Distribución porcentual del acumulado	2018T4	100
Total	Viajes	Distribución porcentual del acumulado	2018T3	100
Total	Viajes	Distribución porcentual del acumulado	2018T2	100
Total	Viajes	Distribución porcentual del acumulado	2018T1	100
Total	Viajes	Distribución porcentual del acumulado	2017T4	100
Total	Viajes	Distribución porcentual del acumulado	2017T3	100
Total	Viajes	Distribución porcentual del acumulado	2017T2	100
Total	Viajes	Distribución porcentual del acumulado	2017T1	100
Total	Viajes	Distribución porcentual del acumulado	2016T4	100
Total	Viajes	Distribución porcentual del acumulado	2016T3	100
Total	Viajes	Distribución porcentual del acumulado	2016T2	100
Total	Viajes	Distribución porcentual del acumulado	2016T1	100
Total	Viajes	Distribución porcentual del acumulado	2015T4	100
Total	Viajes	Distribución porcentual del acumulado	2015T3	100
Total	Viajes	Distribución porcentual del acumulado	2015T2	100
Total	Viajes	Distribución porcentual del acumulado	2015T1	100
Total	Viajes	Variación anual	2023T4	10,99
Total	Viajes	Variación anual	2023T3	4,15
Total	Viajes	Variación anual	2023T2	4,99
Total	Viajes	Variación anual	2023T1	4,36
Total	Viajes	Variación anual	2022T4	1,82
Total	Viajes	Variación anual	2022T3	3,56
Total	Viajes	Variación anual	2022T2	31,69
Total	Viajes	Variación anual	2022T1	108,27
Total	Viajes	Variación anual	2021T4	110,78
Total	Viajes	Variación anual	2021T3	23,75
Total	Viajes	Variación anual	2021T2	283,97
Total	Viajes	Variación anual	2021T1	-45,57
Total	Viajes	Variación anual	2020T4	-56,64
Total	Viajes	Variación anual	2020T3	-24,02
Total	Viajes	Variación anual	2020T2	-81,84
Total	Viajes	Variación anual	2020T1	-30,46
Total	Viajes	Variación anual	2019T4	1,26
Total	Viajes	Variación anual	2019T3	-5,03
Total	Viajes	Variación anual	2019T2	-1,32
Total	Viajes	Variación anual	2019T1	3,42
Total	Viajes	Variación anual	2018T4	1,15
Total	Viajes	Variación anual	2018T3	1,58
Total	Viajes	Variación anual	2018T2	2,16
Total	Viajes	Variación anual	2018T1	3,01
Total	Viajes	Variación anual	2017T4	4,01
Total	Viajes	Variación anual	2017T3	3,51
Total	Viajes	Variación anual	2017T2	14,68
Total	Viajes	Variación anual	2017T1	-1,73
Total	Viajes	Variación anual	2016T4	1,1
Total	Viajes	Variación anual	2016T3	5,52
Total	Viajes	Variación anual	2016T2	-6,76
Total	Viajes	Variación anual	2016T1	22,15
Total	Viajes	Variación anual	2015T4	""
Total	Viajes	Variación anual	2015T3	""
Total	Viajes	Variación anual	2015T2	""
Total	Viajes	Variación anual	2015T1	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T4	5,91
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T3	4,48
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T2	4,73
Total	Viajes	Variación anual del acumulado en lo que va de año	2023T1	4,36
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T4	21,5
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T3	28,45
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T2	55,99
Total	Viajes	Variación anual del acumulado en lo que va de año	2022T1	108,27
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T4	41,98
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T3	27,29
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T2	31,45
Total	Viajes	Variación anual del acumulado en lo que va de año	2021T1	-45,57
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T4	-47,28
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T3	-44,73
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T2	-58,14
Total	Viajes	Variación anual del acumulado en lo que va de año	2020T1	-30,46
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T4	-0,97
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T3	-1,57
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T2	0,81
Total	Viajes	Variación anual del acumulado en lo que va de año	2019T1	3,42
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T4	1,94
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T3	2,15
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T2	2,54
Total	Viajes	Variación anual del acumulado en lo que va de año	2018T1	3,01
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T4	5,08
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T3	5,37
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T2	6,71
Total	Viajes	Variación anual del acumulado en lo que va de año	2017T1	-1,73
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T4	4,47
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T3	5,42
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T2	5,36
Total	Viajes	Variación anual del acumulado en lo que va de año	2016T1	22,15
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T4	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T3	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T2	""
Total	Viajes	Variación anual del acumulado en lo que va de año	2015T1	""
Total	Duración media de los viajes	Valor absoluto	2023T4	3,49
Total	Duración media de los viajes	Valor absoluto	2023T3	6,18
Total	Duración media de los viajes	Valor absoluto	2023T2	3,35
Total	Duración media de los viajes	Valor absoluto	2023T1	3,35
Total	Duración media de los viajes	Valor absoluto	2022T4	3,45
Total	Duración media de los viajes	Valor absoluto	2022T3	6,36
Total	Duración media de los viajes	Valor absoluto	2022T2	3,47
Total	Duración media de los viajes	Valor absoluto	2022T1	3,24
Total	Duración media de los viajes	Valor absoluto	2021T4	3,34
Total	Duración media de los viajes	Valor absoluto	2021T3	6,22
Total	Duración media de los viajes	Valor absoluto	2021T2	2,88
Total	Duración media de los viajes	Valor absoluto	2021T1	3,46
Total	Duración media de los viajes	Valor absoluto	2020T4	3,79
Total	Duración media de los viajes	Valor absoluto	2020T3	6,25
Total	Duración media de los viajes	Valor absoluto	2020T2	4,47
Total	Duración media de los viajes	Valor absoluto	2020T1	3,47
Total	Duración media de los viajes	Valor absoluto	2019T4	3,26
Total	Duración media de los viajes	Valor absoluto	2019T3	6,07
Total	Duración media de los viajes	Valor absoluto	2019T2	3,21
Total	Duración media de los viajes	Valor absoluto	2019T1	3,12
Total	Duración media de los viajes	Valor absoluto	2018T4	3,3
Total	Duración media de los viajes	Valor absoluto	2018T3	5,83
Total	Duración media de los viajes	Valor absoluto	2018T2	3,15
Total	Duración media de los viajes	Valor absoluto	2018T1	3,1
Total	Duración media de los viajes	Valor absoluto	2017T4	3,31
Total	Duración media de los viajes	Valor absoluto	2017T3	6,09
Total	Duración media de los viajes	Valor absoluto	2017T2	3,19
Total	Duración media de los viajes	Valor absoluto	2017T1	2,95
Total	Duración media de los viajes	Valor absoluto	2016T4	3,52
Total	Duración media de los viajes	Valor absoluto	2016T3	6,18
Total	Duración media de los viajes	Valor absoluto	2016T2	3,07
Total	Duración media de los viajes	Valor absoluto	2016T1	3,44
Total	Duración media de los viajes	Valor absoluto	2015T4	3,37
Total	Duración media de los viajes	Valor absoluto	2015T3	6,24
Total	Duración media de los viajes	Valor absoluto	2015T2	3,32
Total	Duración media de los viajes	Valor absoluto	2015T1	3,27
Total	Duración media de los viajes	Distribución porcentual	2023T4	""
Total	Duración media de los viajes	Distribución porcentual	2023T3	""
Total	Duración media de los viajes	Distribución porcentual	2023T2	""
Total	Duración media de los viajes	Distribución porcentual	2023T1	""
Total	Duración media de los viajes	Distribución porcentual	2022T4	""
Total	Duración media de los viajes	Distribución porcentual	2022T3	""
Total	Duración media de los viajes	Distribución porcentual	2022T2	""
Total	Duración media de los viajes	Distribución porcentual	2022T1	""
Total	Duración media de los viajes	Distribución porcentual	2021T4	""
Total	Duración media de los viajes	Distribución porcentual	2021T3	""
Total	Duración media de los viajes	Distribución porcentual	2021T2	""
Total	Duración media de los viajes	Distribución porcentual	2021T1	""
Total	Duración media de los viajes	Distribución porcentual	2020T4	""
Total	Duración media de los viajes	Distribución porcentual	2020T3	""
Total	Duración media de los viajes	Distribución porcentual	2020T2	""
Total	Duración media de los viajes	Distribución porcentual	2020T1	""
Total	Duración media de los viajes	Distribución porcentual	2019T4	""
Total	Duración media de los viajes	Distribución porcentual	2019T3	""
Total	Duración media de los viajes	Distribución porcentual	2019T2	""
Total	Duración media de los viajes	Distribución porcentual	2019T1	""
Total	Duración media de los viajes	Distribución porcentual	2018T4	""
Total	Duración media de los viajes	Distribución porcentual	2018T3	""
Total	Duración media de los viajes	Distribución porcentual	2018T2	""
Total	Duración media de los viajes	Distribución porcentual	2018T1	""
Total	Duración media de los viajes	Distribución porcentual	2017T4	""
Total	Duración media de los viajes	Distribución porcentual	2017T3	""
Total	Duración media de los viajes	Distribución porcentual	2017T2	""
Total	Duración media de los viajes	Distribución porcentual	2017T1	""
Total	Duración media de los viajes	Distribución porcentual	2016T4	""
Total	Duración media de los viajes	Distribución porcentual	2016T3	""
Total	Duración media de los viajes	Distribución porcentual	2016T2	""
Total	Duración media de los viajes	Distribución porcentual	2016T1	""
Total	Duración media de los viajes	Distribución porcentual	2015T4	""
Total	Duración media de los viajes	Distribución porcentual	2015T3	""
Total	Duración media de los viajes	Distribución porcentual	2015T2	""
Total	Duración media de los viajes	Distribución porcentual	2015T1	""
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T4	4,3
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T3	4,55
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T2	3,35
Total	Duración media de los viajes	Acumulado en lo que va de año	2023T1	3,35
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T4	4,38
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T3	4,64
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T2	3,37
Total	Duración media de los viajes	Acumulado en lo que va de año	2022T1	3,24
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T4	4,36
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T3	4,72
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T2	3,06
Total	Duración media de los viajes	Acumulado en lo que va de año	2021T1	3,46
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T4	4,85
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T3	5,08
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T2	3,71
Total	Duración media de los viajes	Acumulado en lo que va de año	2020T1	3,47
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T4	4,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T3	4,31
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T2	3,17
Total	Duración media de los viajes	Acumulado en lo que va de año	2019T1	3,12
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T4	4,03
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T3	4,23
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T2	3,13
Total	Duración media de los viajes	Acumulado en lo que va de año	2018T1	3,1
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T4	4,11
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T3	4,32
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T2	3,09
Total	Duración media de los viajes	Acumulado en lo que va de año	2017T1	2,95
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T4	4,27
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T3	4,47
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T2	3,25
Total	Duración media de los viajes	Acumulado en lo que va de año	2016T1	3,44
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T4	4,27
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T3	4,52
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T2	3,3
Total	Duración media de los viajes	Acumulado en lo que va de año	2015T1	3,27
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2023T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2022T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2021T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2020T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2019T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2018T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2017T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2016T1	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T4	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T3	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T2	""
Total	Duración media de los viajes	Distribución porcentual del acumulado	2015T1	""
Total	Duración media de los viajes	Variación anual	2023T4	1,07
Total	Duración media de los viajes	Variación anual	2023T3	-2,79
Total	Duración media de los viajes	Variación anual	2023T2	-3,41
Total	Duración media de los viajes	Variación anual	2023T1	3,44
Total	Duración media de los viajes	Variación anual	2022T4	3,52
Total	Duración media de los viajes	Variación anual	2022T3	2,26
Total	Duración media de los viajes	Variación anual	2022T2	20,38
Total	Duración media de los viajes	Variación anual	2022T1	-6,35
Total	Duración media de los viajes	Variación anual	2021T4	-12,04
Total	Duración media de los viajes	Variación anual	2021T3	-0,43
Total	Duración media de los viajes	Variación anual	2021T2	-35,5
Total	Duración media de los viajes	Variación anual	2021T1	-0,51
Total	Duración media de los viajes	Variación anual	2020T4	16,27
Total	Duración media de los viajes	Variación anual	2020T3	2,85
Total	Duración media de los viajes	Variación anual	2020T2	39,27
Total	Duración media de los viajes	Variación anual	2020T1	11,32
Total	Duración media de los viajes	Variación anual	2019T4	-1,1
Total	Duración media de los viajes	Variación anual	2019T3	4,17
Total	Duración media de los viajes	Variación anual	2019T2	1,86
Total	Duración media de los viajes	Variación anual	2019T1	0,54
Total	Duración media de los viajes	Variación anual	2018T4	-0,35
Total	Duración media de los viajes	Variación anual	2018T3	-4,33
Total	Duración media de los viajes	Variación anual	2018T2	-1,42
Total	Duración media de los viajes	Variación anual	2018T1	5,14
Total	Duración media de los viajes	Variación anual	2017T4	-5,96
Total	Duración media de los viajes	Variación anual	2017T3	-1,34
Total	Duración media de los viajes	Variación anual	2017T2	3,95
Total	Duración media de los viajes	Variación anual	2017T1	-14,23
Total	Duración media de los viajes	Variación anual	2016T4	4,33
Total	Duración media de los viajes	Variación anual	2016T3	-1,05
Total	Duración media de los viajes	Variación anual	2016T2	-7,33
Total	Duración media de los viajes	Variación anual	2016T1	5,12
Total	Duración media de los viajes	Variación anual	2015T4	""
Total	Duración media de los viajes	Variación anual	2015T3	""
Total	Duración media de los viajes	Variación anual	2015T2	""
Total	Duración media de los viajes	Variación anual	2015T1	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T4	-1,69
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T3	-1,96
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T2	-0,62
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2023T1	3,44
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T4	0,41
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T3	-1,8
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T2	10,01
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2022T1	-6,35
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T4	-10,15
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T3	-7,03
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T2	-17,33
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2021T1	-0,51
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T4	18,78
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T3	17,85
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T2	17
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2020T1	11,32
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T4	1,27
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T3	1,9
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T2	1,24
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2019T1	0,54
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T4	-1,73
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T3	-2,06
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T2	1,39
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2018T1	5,14
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T4	-3,83
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T3	-3,44
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T2	-5,12
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2017T1	-14,23
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T4	-0,06
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T3	-1,18
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T2	-1,4
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2016T1	5,12
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T4	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T3	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T2	""
Total	Duración media de los viajes	Variación anual del acumulado en lo que va de año	2015T1	""
Total	Pernoctaciones	Valor absoluto	2023T4	123.715.947
Total	Pernoctaciones	Valor absoluto	2023T3	310.445.401
Total	Pernoctaciones	Valor absoluto	2023T2	133.113.601
Total	Pernoctaciones	Valor absoluto	2023T1	97.193.417
Total	Pernoctaciones	Valor absoluto	2022T4	110.288.459
Total	Pernoctaciones	Valor absoluto	2022T3	306.623.513
Total	Pernoctaciones	Valor absoluto	2022T2	131.255.462
Total	Pernoctaciones	Valor absoluto	2022T1	90.035.628
Total	Pernoctaciones	Valor absoluto	2021T4	104.635.156
Total	Pernoctaciones	Valor absoluto	2021T3	289.549.614
Total	Pernoctaciones	Valor absoluto	2021T2	82.797.053
Total	Pernoctaciones	Valor absoluto	2021T1	46.161.078
Total	Pernoctaciones	Valor absoluto	2020T4	56.437.214
Total	Pernoctaciones	Valor absoluto	2020T3	234.985.278
Total	Pernoctaciones	Valor absoluto	2020T2	33.429.804
Total	Pernoctaciones	Valor absoluto	2020T1	85.241.965
Total	Pernoctaciones	Valor absoluto	2019T4	111.959.899
Total	Pernoctaciones	Valor absoluto	2019T3	300.678.639
Total	Pernoctaciones	Valor absoluto	2019T2	132.195.121
Total	Pernoctaciones	Valor absoluto	2019T1	110.112.931
Total	Pernoctaciones	Valor absoluto	2018T4	111.789.156
Total	Pernoctaciones	Valor absoluto	2018T3	303.921.072
Total	Pernoctaciones	Valor absoluto	2018T2	131.519.638
